RowNumber,CustomerId,Surname,Geography,Gender,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,15634602,Hargrave,France,Female,619,42,2,0,1,1,1,101348.88,leave
2,15647311,Hill,Spain,Female,608,41,1,83807.86,1,0,1,112542.58,stay
3,15619304,Onio,France,Female,502,42,8,159660.8,3,1,0,113931.57,leave
4,15701354,Boni,France,Female,699,39,1,0,2,0,0,93826.63,stay
5,15737888,Mitchell,Spain,Female,850,43,2,125510.82,1,1,1,79084.1,stay
6,15574012,Chu,Spain,Male,645,44,8,113755.78,2,1,0,149756.71,leave
7,15592531,Bartlett,France,Male,822,50,7,0,2,1,1,10062.8,stay
8,15656148,Obinna,Germany,Female,376,29,4,115046.74,4,1,0,119346.88,leave
9,15792365,He,France,Male,501,44,4,142051.07,2,0,1,74940.5,stay
10,15592389,H?,France,Male,684,27,2,134603.88,1,1,1,71725.73,stay
11,15767821,Bearce,France,Male,528,31,6,102016.72,2,0,0,80181.12,stay
12,15737173,Andrews,Spain,Male,497,24,3,0,2,1,0,76390.01,stay
13,15632264,Kay,France,Female,476,34,10,0,2,1,0,26260.98,stay
14,15691483,Chin,France,Female,549,25,5,0,2,0,0,190857.79,stay
15,15600882,Scott,Spain,Female,635,35,7,0,2,1,1,65951.65,stay
16,15643966,Goforth,Germany,Male,616,45,3,143129.41,2,0,1,64327.26,stay
17,15737452,Romeo,Germany,Male,653,58,1,132602.88,1,1,0,5097.67,leave
18,15788218,Henderson,Spain,Female,549,24,9,0,2,1,1,14406.41,stay
19,15661507,Muldrow,Spain,Male,587,45,6,0,1,0,0,158684.81,stay
20,15568982,Hao,France,Female,726,24,6,0,2,1,1,54724.03,stay
21,15577657,McDonald,France,Male,732,41,8,0,2,1,1,170886.17,stay
22,15597945,Dellucci,Spain,Female,636,32,8,0,2,1,0,138555.46,stay
23,15699309,Gerasimov,Spain,Female,510,38,4,0,1,1,0,118913.53,leave
24,15725737,Mosman,France,Male,669,46,3,0,2,0,1,8487.75,stay
25,15625047,Yen,France,Female,846,38,5,0,1,1,1,187616.16,stay
26,15738191,Maclean,France,Male,577,25,3,0,2,0,1,124508.29,stay
27,15736816,Young,Germany,Male,756,36,2,136815.64,1,1,1,170041.95,stay
28,15700772,Nebechi,France,Male,571,44,9,0,2,0,0,38433.35,stay
29,15728693,McWilliams,Germany,Female,574,43,3,141349.43,1,1,1,100187.43,stay
30,15656300,Lucciano,France,Male,411,29,0,59697.17,2,1,1,53483.21,stay
31,15589475,Azikiwe,Spain,Female,591,39,3,0,3,1,0,140469.38,leave
32,15706552,Odinakachukwu,France,Male,533,36,7,85311.7,1,0,1,156731.91,stay
33,15750181,Sanderson,Germany,Male,553,41,9,110112.54,2,0,0,81898.81,stay
34,15659428,Maggard,Spain,Female,520,42,6,0,2,1,1,34410.55,stay
35,15732963,Clements,Spain,Female,722,29,9,0,2,1,1,142033.07,stay
36,15794171,Lombardo,France,Female,475,45,0,134264.04,1,1,0,27822.99,leave
37,15788448,Watson,Spain,Male,490,31,3,145260.23,1,0,1,114066.77,stay
38,15729599,Lorenzo,Spain,Male,804,33,7,76548.6,1,0,1,98453.45,stay
39,15717426,Armstrong,France,Male,850,36,7,0,1,1,1,40812.9,stay
40,15585768,Cameron,Germany,Male,582,41,6,70349.48,2,0,1,178074.04,stay
41,15619360,Hsiao,Spain,Male,472,40,4,0,1,1,0,70154.22,stay
42,15738148,Clarke,France,Female,465,51,8,122522.32,1,0,0,181297.65,leave
